"producto","mes_corte","ventas_mes_anterior","promedio_movil_ventas_3_meses","promedio_movil_ventas_6_meses","promedio_movil_ventas_12_meses","vistas_producto_mes_anterior","promedio_movil_vistas_3_meses","ventas_mes_siguiente"
"Adidas Core Cotton Tank Negro","2023-09","1","1.00","1.00","0.75","48","59.67","1"
"Adidas Core Cotton Tank Negro","2023-10","1","1.00","1.00","0.75","70","63.67","0"
"Adidas Core Cotton Tank Negro","2023-11","0","0.67","0.83","0.75","77","65.00","1"
"Adidas Core Cotton Tank Negro","2023-12","1","0.67","0.83","0.83","44","63.67","1"
"Adidas Core Cotton Tank Negro","2024-01","1","0.67","0.83","0.83","68","63.00","1"
"Adidas Core Cotton Tank Negro","2024-02","1","1.00","0.83","0.92","64","58.67","0"
"Adidas Core Cotton Tank Negro","2024-03","0","0.67","0.67","0.83","0","44.00","1"
"Adidas Core Cotton Tank Negro","2024-04","1","0.67","0.67","0.83","55","39.67","0"
"Adidas Core Cotton Tank Negro","2024-05","0","0.33","0.67","0.75","64","39.67","1"
"Adidas Core Cotton Tank Negro","2024-06","1","0.67","0.67","0.75","74","64.33","1"
"Adidas Core Cotton Tank Negro","2024-07","1","0.67","0.67","0.75","60","66.00","1"
"Adidas Core Cotton Tank Negro","2024-08","1","1.00","0.67","0.75","52","62.00","2"
"Adidas Core Cotton Tank Negro","2024-09","2","1.33","1.00","0.83","68","60.00","0"
"Adidas Core Cotton Tank Negro","2024-10","0","1.00","0.83","0.75","62","60.67","6"
"Adidas Core Cotton Tank Negro","2024-11","6","2.67","1.83","1.25","76","68.67","4"
"Adidas Core Cotton Tank Negro","2024-12","4","3.33","2.33","1.50","48","62.00","1"
"Adidas Core Cotton Tank Negro","2025-01","1","3.67","2.33","1.50","59","61.00","3"
"Adidas Core Cotton Tank Negro","2025-02","3","2.67","2.67","1.67","82","63.00","4"
"Adidas Core Cotton Tank Negro","2025-03","4","2.67","3.00","2.00","82","74.33","7"
"Adidas Core Cotton Tank Negro","2025-04","7","4.67","4.17","2.50","46","70.00","1"
"Adidas Core Cotton Tank Negro","2025-05","1","4.00","3.33","2.58","60","62.67","1"
"Adidas Core Cotton Tank Negro","2025-06","1","3.00","2.83","2.58","71","59.00","1"
"Adidas Core Cotton Tank Negro","2025-07","1","1.00","2.83","2.58","66","65.67","0"
"Adidas Core Cotton Tank Negro","2025-08","0","0.67","2.33","2.50","85","74.00","4"
"Adidas Core Cotton Tank Negro","2025-09","4","1.67","2.33","2.67","70","73.67","1"
"Adidas Core Cotton Tank Negro","2025-10","1","1.67","1.33","2.75","67","74.00","3"
"Adidas Core Cotton Tank Negro","2025-11","3","2.67","1.67","2.50","88","75.00","3"
"Adidas Core Cotton Tank Negro","2025-12","3","2.33","2.00","2.42","77","77.33","4"
"Adidas Core Cotton Tank Negro","2026-01","4","3.33","2.50","2.67","68","77.67","1"
"Adidas Core Cotton Tank Negro","2026-02","1","2.67","2.67","2.50","39","61.33","7"
"Adidas Core Cotton Tank Negro","2026-03","7","4.00","3.17","2.75","92","66.33","7"
"Adidas Core Cotton Tank Negro","2026-04","7","5.00","4.17","2.75","74","68.33","8"
"Adidas Core Cotton Tank Negro","2026-05","8","7.33","5.00","3.33","83","83.00","16"
"Adidas Designed 4 Training Tee Negro","2023-06","5","4.67","4.33","4.00","43","35.33","5"
"Adidas Designed 4 Training Tee Negro","2023-07","5","5.00","4.50","4.00","32","33.00","5"
"Adidas Designed 4 Training Tee Negro","2023-08","5","5.00","4.83","4.08","34","36.33","3"
"Adidas Designed 4 Training Tee Negro","2023-09","3","4.33","4.50","4.33","37","34.33","5"
"Adidas Designed 4 Training Tee Negro","2023-10","5","4.33","4.67","4.58","42","37.67","6"
"Adidas Designed 4 Training Tee Negro","2023-11","6","4.67","4.83","4.58","38","39.00","4"
"Adidas Designed 4 Training Tee Negro","2023-12","4","5.00","4.67","4.50","31","37.00","4"
"Adidas Designed 4 Training Tee Negro","2024-01","4","4.67","4.50","4.50","35","34.67","5"
"Adidas Designed 4 Training Tee Negro","2024-02","5","4.33","4.50","4.67","44","36.67","3"
"Adidas Designed 4 Training Tee Negro","2024-03","3","4.00","4.50","4.50","23","34.00","5"
"Adidas Designed 4 Training Tee Negro","2024-04","5","4.33","4.50","4.58","39","35.33","4"
"Adidas Designed 4 Training Tee Negro","2024-05","4","4.00","4.17","4.50","32","31.33","4"
"Adidas Designed 4 Training Tee Negro","2024-06","4","4.33","4.17","4.42","39","36.67","9"
"Adidas Designed 4 Training Tee Negro","2024-07","9","5.67","5.00","4.75","37","36.00","4"
"Adidas Designed 4 Training Tee Negro","2024-08","4","5.67","4.83","4.67","37","37.67","13"
"Adidas Designed 4 Training Tee Negro","2024-09","13","8.67","6.50","5.50","26","33.33","14"
"Adidas Designed 4 Training Tee Negro","2024-10","14","10.33","8.00","6.25","28","30.33","15"
"Adidas Designed 4 Training Tee Negro","2024-11","15","14.00","9.83","7.00","31","28.33","11"
"Adidas Designed 4 Training Tee Negro","2024-12","11","13.33","11.00","7.58","37","32.00","12"
"Adidas Designed 4 Training Tee Negro","2025-01","12","12.67","11.50","8.25","41","36.33","8"
"Adidas Designed 4 Training Tee Negro","2025-02","8","10.33","12.17","8.50","34","37.33","3"
"Adidas Designed 4 Training Tee Negro","2025-03","3","7.67","10.50","8.50","23","32.67","5"
"Adidas Designed 4 Training Tee Negro","2025-04","5","5.33","9.00","8.50","33","30.00","5"
"Adidas Designed 4 Training Tee Negro","2025-05","5","4.33","7.33","8.58","29","28.33","10"
"Adidas Designed 4 Training Tee Negro","2025-06","10","6.67","7.17","9.08","33","31.67","4"
"Adidas Designed 4 Training Tee Negro","2025-07","4","6.33","5.83","8.67","27","29.67","4"
"Adidas Designed 4 Training Tee Negro","2025-08","4","6.00","5.17","8.67","24","28.00","16"
"Adidas Designed 4 Training Tee Negro","2025-09","16","8.00","7.33","8.92","30","27.00","12"
"Adidas Designed 4 Training Tee Negro","2025-10","12","10.67","8.50","8.75","27","27.00","14"
"Adidas Designed 4 Training Tee Negro","2025-11","14","14.00","10.00","8.67","32","29.67","5"
"Adidas Designed 4 Training Tee Negro","2025-12","5","10.33","9.17","8.17","47","35.33","8"
"Adidas Designed 4 Training Tee Negro","2026-01","8","9.00","9.83","7.83","23","34.00","13"
"Adidas Designed 4 Training Tee Negro","2026-02","13","8.67","11.33","8.25","22","30.67","1"
"Adidas Designed 4 Training Tee Negro","2026-03","1","7.33","8.83","8.08","18","21.00","14"
"Adidas Designed 4 Training Tee Negro","2026-04","14","9.33","9.17","8.83","40","26.67","12"
"Adidas Designed 4 Training Tee Negro","2026-05","12","9.00","8.83","9.42","31","29.67","18"
"Adidas Entrada Jacket Azul Marino","2023-06","2","2.00","1.67","1.67","35","28.33","1"
"Adidas Entrada Jacket Azul Marino","2023-07","1","1.67","1.83","1.67","17","26.00","0"
"Adidas Entrada Jacket Azul Marino","2023-08","0","1.00","1.50","1.58","17","23.00","2"
"Adidas Entrada Jacket Azul Marino","2023-09","2","1.00","1.50","1.58","23","19.00","2"
"Adidas Entrada Jacket Azul Marino","2023-10","2","1.33","1.50","1.58","27","22.33","1"
"Adidas Entrada Jacket Azul Marino","2023-11","1","1.67","1.33","1.50","32","27.33","0"
"Adidas Entrada Jacket Azul Marino","2023-12","0","1.00","1.00","1.33","29","29.33","2"
"Adidas Entrada Jacket Azul Marino","2024-01","2","1.00","1.17","1.50","35","32.00","1"
"Adidas Entrada Jacket Azul Marino","2024-02","1","1.00","1.33","1.42","16","26.67","0"
"Adidas Entrada Jacket Azul Marino","2024-03","0","1.00","1.00","1.25","18","23.00","2"
"Adidas Entrada Jacket Azul Marino","2024-04","2","1.00","1.00","1.25","24","19.33","2"
"Adidas Entrada Jacket Azul Marino","2024-05","2","1.33","1.17","1.25","33","25.00","0"
"Adidas Entrada Jacket Azul Marino","2024-06","0","1.33","1.17","1.08","20","25.67","8"
"Adidas Entrada Jacket Azul Marino","2024-07","8","3.33","2.17","1.67","21","24.67","8"
"Adidas Entrada Jacket Azul Marino","2024-08","8","5.33","3.33","2.33","20","20.33","1"
"Adidas Entrada Jacket Azul Marino","2024-09","1","5.67","3.50","2.25","14","18.33","6"
"Adidas Entrada Jacket Azul Marino","2024-10","6","5.00","4.17","2.58","32","22.00","7"
"Adidas Entrada Jacket Azul Marino","2024-11","7","4.67","5.00","3.08","23","23.00","10"
"Adidas Entrada Jacket Azul Marino","2024-12","10","7.67","6.67","3.92","21","25.33","11"
"Adidas Entrada Jacket Azul Marino","2025-01","11","9.33","7.17","4.67","32","25.33","12"
"Adidas Entrada Jacket Azul Marino","2025-02","12","11.00","7.83","5.58","29","27.33","10"
"Adidas Entrada Jacket Azul Marino","2025-03","10","11.00","9.33","6.42","31","30.67","11"
"Adidas Entrada Jacket Azul Marino","2025-04","11","11.00","10.17","7.17","37","32.33","12"
"Adidas Entrada Jacket Azul Marino","2025-05","12","11.00","11.00","8.00","29","32.33","9"
"Adidas Entrada Jacket Azul Marino","2025-06","9","10.67","10.83","8.75","33","33.00","1"
"Adidas Entrada Jacket Azul Marino","2025-07","1","7.33","9.17","8.17","27","29.67","10"
"Adidas Entrada Jacket Azul Marino","2025-08","10","6.67","8.83","8.33","14","24.67","9"
"Adidas Entrada Jacket Azul Marino","2025-09","9","6.67","8.67","9.00","29","23.33","2"
"Adidas Entrada Jacket Azul Marino","2025-10","2","7.00","7.17","8.67","26","23.00","7"
"Adidas Entrada Jacket Azul Marino","2025-11","7","6.00","6.33","8.67","23","26.00","9"
"Adidas Entrada Jacket Azul Marino","2025-12","9","6.00","6.33","8.58","26","25.00","6"
"Adidas Entrada Jacket Azul Marino","2026-01","6","7.33","7.17","8.17","22","23.67","11"
"Adidas Entrada Jacket Azul Marino","2026-02","11","8.67","7.33","8.08","31","26.33","14"
"Adidas Entrada Jacket Azul Marino","2026-03","14","10.33","8.17","8.42","14","22.33","11"
"Adidas Entrada Jacket Azul Marino","2026-04","11","12.00","9.67","8.42","32","25.67","13"
"Adidas Entrada Jacket Azul Marino","2026-05","13","12.67","10.67","8.50","23","23.00","17"
"Adidas Essentials Hoodie Gris","2023-06","7","5.67","5.67","5.33","75","84.00","5"
"Adidas Essentials Hoodie Gris","2023-07","5","5.33","5.50","5.33","103","87.33","0"
"Adidas Essentials Hoodie Gris","2023-08","0","4.00","4.83","4.92","49","75.67","6"
"Adidas Essentials Hoodie Gris","2023-09","6","3.67","4.67","5.08","101","84.33","6"
"Adidas Essentials Hoodie Gris","2023-10","6","4.00","4.67","5.17","82","77.33","0"
"Adidas Essentials Hoodie Gris","2023-11","0","4.00","4.00","4.75","78","87.00","8"
"Adidas Essentials Hoodie Gris","2023-12","8","4.67","4.17","4.92","118","92.67","5"
"Adidas Essentials Hoodie Gris","2024-01","5","4.33","4.17","4.83","72","89.33","5"
"Adidas Essentials Hoodie Gris","2024-02","5","6.00","5.00","4.92","76","88.67","6"
"Adidas Essentials Hoodie Gris","2024-03","6","5.33","5.00","4.83","125","91.00","7"
"Adidas Essentials Hoodie Gris","2024-04","7","6.00","5.17","4.92","84","95.00","5"
"Adidas Essentials Hoodie Gris","2024-05","5","6.00","6.00","5.00","101","103.33","5"
"Adidas Essentials Hoodie Gris","2024-06","5","5.67","5.50","4.83","104","96.33","7"
"Adidas Essentials Hoodie Gris","2024-07","7","5.67","5.83","5.00","80","95.00","6"
"Adidas Essentials Hoodie Gris","2024-08","6","6.00","6.00","5.50","95","93.00","10"
"Adidas Essentials Hoodie Gris","2024-09","10","7.67","6.67","5.83","91","88.67","8"
"Adidas Essentials Hoodie Gris","2024-10","8","8.00","6.83","6.00","118","101.33","7"
"Adidas Essentials Hoodie Gris","2024-11","7","8.33","7.17","6.58","78","95.67","9"
"Adidas Essentials Hoodie Gris","2024-12","9","8.00","7.83","6.67","135","110.33","7"
"Adidas Essentials Hoodie Gris","2025-01","7","7.67","7.83","6.83","132","115.00","6"
"Adidas Essentials Hoodie Gris","2025-02","6","7.33","7.83","6.92","98","121.67","14"
"Adidas Essentials Hoodie Gris","2025-03","14","9.00","8.50","7.58","129","119.67","8"
"Adidas Essentials Hoodie Gris","2025-04","8","9.33","8.50","7.67","128","118.33","9"
"Adidas Essentials Hoodie Gris","2025-05","9","10.33","8.83","8.00","112","123.00","11"
"Adidas Essentials Hoodie Gris","2025-06","11","9.33","9.17","8.50","121","120.33","7"
"Adidas Essentials Hoodie Gris","2025-07","7","9.00","9.17","8.50","83","105.33","6"
"Adidas Essentials Hoodie Gris","2025-08","6","8.00","9.17","8.50","66","90.00","6"
"Adidas Essentials Hoodie Gris","2025-09","6","6.33","7.83","8.17","72","73.67","9"
"Adidas Essentials Hoodie Gris","2025-10","9","7.00","8.00","8.25","124","87.33","8"
"Adidas Essentials Hoodie Gris","2025-11","8","7.67","7.83","8.33","95","97.00","11"
"Adidas Essentials Hoodie Gris","2025-12","11","9.33","7.83","8.50","111","110.00","9"
"Adidas Essentials Hoodie Gris","2026-01","9","9.33","8.17","8.67","92","99.33","7"
"Adidas Essentials Hoodie Gris","2026-02","7","9.00","8.33","8.75","106","103.00","11"
"Adidas Essentials Hoodie Gris","2026-03","11","9.00","9.17","8.50","89","95.67","13"
"Adidas Essentials Hoodie Gris","2026-04","13","10.33","9.83","8.92","122","105.67","17"
"Adidas Essentials Hoodie Gris","2026-05","17","13.67","11.33","9.58","113","108.00","16"
"Adidas HIIT Training Shorts Negro","2023-06","0","1.33","1.67","1.92","19","27.00","2"
"Adidas HIIT Training Shorts Negro","2023-07","2","1.33","1.67","1.92","13","21.00","2"
"Adidas HIIT Training Shorts Negro","2023-08","2","1.33","1.67","1.92","23","18.33","2"
"Adidas HIIT Training Shorts Negro","2023-09","2","2.00","1.67","1.92","25","20.33","2"
"Adidas HIIT Training Shorts Negro","2023-10","2","2.00","1.67","1.92","28","25.33","2"
"Adidas HIIT Training Shorts Negro","2023-11","2","2.00","1.67","1.92","18","23.67","2"
"Adidas HIIT Training Shorts Negro","2023-12","2","2.00","2.00","1.83","26","24.00","2"
"Adidas HIIT Training Shorts Negro","2024-01","2","2.00","2.00","1.83","19","21.00","2"
"Adidas HIIT Training Shorts Negro","2024-02","2","2.00","2.00","1.83","17","20.67","3"
"Adidas HIIT Training Shorts Negro","2024-03","3","2.33","2.17","1.92","31","22.33","2"
"Adidas HIIT Training Shorts Negro","2024-04","2","2.33","2.17","1.92","21","23.00","2"
"Adidas HIIT Training Shorts Negro","2024-05","2","2.33","2.17","1.92","19","23.67","2"
"Adidas HIIT Training Shorts Negro","2024-06","2","2.00","2.17","2.08","30","23.33","1"
"Adidas HIIT Training Shorts Negro","2024-07","1","1.67","2.00","2.00","20","23.00","2"
"Adidas HIIT Training Shorts Negro","2024-08","2","1.67","2.00","2.00","21","23.67","11"
"Adidas HIIT Training Shorts Negro","2024-09","11","4.67","3.33","2.75","23","21.33","11"
"Adidas HIIT Training Shorts Negro","2024-10","11","8.00","4.83","3.50","21","21.67","11"
"Adidas HIIT Training Shorts Negro","2024-11","11","11.00","6.33","4.25","25","23.00","10"
"Adidas HIIT Training Shorts Negro","2024-12","10","10.67","7.67","4.92","22","22.67","2"
"Adidas HIIT Training Shorts Negro","2025-01","2","7.67","7.83","4.92","16","21.00","9"
"Adidas HIIT Training Shorts Negro","2025-02","9","7.00","9.00","5.50","26","21.33","6"
"Adidas HIIT Training Shorts Negro","2025-03","6","5.67","8.17","5.75","22","21.33","9"
"Adidas HIIT Training Shorts Negro","2025-04","9","8.00","7.83","6.33","22","23.33","6"
"Adidas HIIT Training Shorts Negro","2025-05","6","7.00","7.00","6.67","11","18.33","13"
"Adidas HIIT Training Shorts Negro","2025-06","13","9.33","7.50","7.58","30","21.00","2"
"Adidas HIIT Training Shorts Negro","2025-07","2","7.00","7.50","7.67","15","18.67","12"
"Adidas HIIT Training Shorts Negro","2025-08","12","9.00","8.00","8.50","23","22.67","2"
"Adidas HIIT Training Shorts Negro","2025-09","2","5.33","7.33","7.75","26","21.33","13"
"Adidas HIIT Training Shorts Negro","2025-10","13","9.00","8.00","7.92","23","24.00","11"
"Adidas HIIT Training Shorts Negro","2025-11","11","8.67","8.83","7.92","19","22.67","13"
"Adidas HIIT Training Shorts Negro","2025-12","13","12.33","8.83","8.17","20","20.67","9"
"Adidas HIIT Training Shorts Negro","2026-01","9","11.00","10.00","8.75","13","17.33","1"
"Adidas HIIT Training Shorts Negro","2026-02","1","7.67","8.17","8.08","17","16.67","10"
"Adidas HIIT Training Shorts Negro","2026-03","10","6.67","9.50","8.42","16","15.33","11"
"Adidas HIIT Training Shorts Negro","2026-04","11","7.33","9.17","8.58","22","18.33","13"
"Adidas HIIT Training Shorts Negro","2026-05","13","11.33","9.50","9.17","15","17.67","16"
"Adidas Optime Training Leggings Morado","2023-06","4","3.33","3.17","2.67","20","19.00","3"
"Adidas Optime Training Leggings Morado","2023-07","3","3.33","3.17","2.67","15","18.00","3"
"Adidas Optime Training Leggings Morado","2023-08","3","3.33","3.17","2.92","15","16.67","3"
"Adidas Optime Training Leggings Morado","2023-09","3","3.00","3.17","2.92","11","13.67","3"
"Adidas Optime Training Leggings Morado","2023-10","3","3.00","3.17","2.92","16","14.00","4"
"Adidas Optime Training Leggings Morado","2023-11","4","3.33","3.33","2.92","22","16.33","4"
"Adidas Optime Training Leggings Morado","2023-12","4","3.67","3.33","3.25","23","20.33","3"
"Adidas Optime Training Leggings Morado","2024-01","3","3.67","3.33","3.25","23","22.67","3"
"Adidas Optime Training Leggings Morado","2024-02","3","3.33","3.33","3.25","14","20.00","0"
"Adidas Optime Training Leggings Morado","2024-03","0","2.00","2.83","3.00","11","16.00","0"
"Adidas Optime Training Leggings Morado","2024-04","0","1.00","2.33","2.75","15","13.33","0"
"Adidas Optime Training Leggings Morado","2024-05","0","0.00","1.67","2.50","15","13.67","4"
"Adidas Optime Training Leggings Morado","2024-06","4","1.33","1.67","2.50","16","15.33","4"
"Adidas Optime Training Leggings Morado","2024-07","4","2.67","1.83","2.58","22","17.67","7"
"Adidas Optime Training Leggings Morado","2024-08","7","5.00","2.50","2.92","11","16.33","4"
"Adidas Optime Training Leggings Morado","2024-09","4","5.00","3.17","3.00","21","18.00","3"
"Adidas Optime Training Leggings Morado","2024-10","3","4.67","3.67","3.00","15","15.67","5"
"Adidas Optime Training Leggings Morado","2024-11","5","4.00","4.50","3.08","18","18.00","7"
"Adidas Optime Training Leggings Morado","2024-12","7","5.00","5.00","3.33","16","16.33","3"
"Adidas Optime Training Leggings Morado","2025-01","3","5.00","4.83","3.33","21","18.33","3"
"Adidas Optime Training Leggings Morado","2025-02","3","4.33","4.17","3.33","12","16.33","3"
"Adidas Optime Training Leggings Morado","2025-03","3","3.00","4.00","3.58","10","14.33","0"
"Adidas Optime Training Leggings Morado","2025-04","0","2.00","3.50","3.58","13","11.67","3"
"Adidas Optime Training Leggings Morado","2025-05","3","2.00","3.17","3.83","19","14.00","0"
"Adidas Optime Training Leggings Morado","2025-06","0","1.00","2.00","3.50","15","15.67","4"
"Adidas Optime Training Leggings Morado","2025-07","4","2.33","2.17","3.50","13","15.67","3"
"Adidas Optime Training Leggings Morado","2025-08","3","2.33","2.17","3.17","16","14.67","3"
"Adidas Optime Training Leggings Morado","2025-09","3","3.33","2.17","3.08","19","16.00","6"
"Adidas Optime Training Leggings Morado","2025-10","6","4.00","3.17","3.33","15","16.67","4"
"Adidas Optime Training Leggings Morado","2025-11","4","4.33","3.33","3.25","19","17.67","7"
"Adidas Optime Training Leggings Morado","2025-12","7","5.67","4.50","3.25","22","18.67","6"
"Adidas Optime Training Leggings Morado","2026-01","6","5.67","4.83","3.50","19","20.00","8"
"Adidas Optime Training Leggings Morado","2026-02","8","7.00","5.67","3.92","15","18.67","4"
"Adidas Optime Training Leggings Morado","2026-03","4","6.00","5.83","4.00","17","17.00","13"
"Adidas Optime Training Leggings Morado","2026-04","13","8.33","7.00","5.08","24","18.67","12"
"Adidas Optime Training Leggings Morado","2026-05","12","9.67","8.33","5.83","29","23.33","17"
"Adidas Own The Run Tee Verde","2023-06","6","6.00","5.33","5.17","51","48.00","3"
"Adidas Own The Run Tee Verde","2023-07","3","5.00","5.00","5.08","30","40.33","4"
"Adidas Own The Run Tee Verde","2023-08","4","4.33","5.00","5.08","36","39.00","4"
"Adidas Own The Run Tee Verde","2023-09","4","3.67","4.83","5.00","38","34.67","4"
"Adidas Own The Run Tee Verde","2023-10","4","4.00","4.50","4.83","39","37.67","5"
"Adidas Own The Run Tee Verde","2023-11","5","4.33","4.33","4.75","40","39.00","5"
"Adidas Own The Run Tee Verde","2023-12","5","4.67","4.17","4.75","39","39.33","5"
"Adidas Own The Run Tee Verde","2024-01","5","5.00","4.50","4.75","38","39.00","5"
"Adidas Own The Run Tee Verde","2024-02","5","5.00","4.67","4.83","26","34.33","4"
"Adidas Own The Run Tee Verde","2024-03","4","4.67","4.67","4.75","54","39.33","5"
"Adidas Own The Run Tee Verde","2024-04","5","4.67","4.83","4.67","43","41.00","0"
"Adidas Own The Run Tee Verde","2024-05","0","3.00","4.00","4.17","36","44.33","4"
"Adidas Own The Run Tee Verde","2024-06","4","3.00","3.83","4.00","50","43.00","8"
"Adidas Own The Run Tee Verde","2024-07","8","4.00","4.33","4.42","39","41.67","11"
"Adidas Own The Run Tee Verde","2024-08","11","7.67","5.33","5.00","23","37.33","8"
"Adidas Own The Run Tee Verde","2024-09","8","9.00","6.00","5.33","49","37.00","8"
"Adidas Own The Run Tee Verde","2024-10","8","9.00","6.50","5.67","34","35.33","5"
"Adidas Own The Run Tee Verde","2024-11","5","7.00","7.33","5.67","42","41.67","13"
"Adidas Own The Run Tee Verde","2024-12","13","8.67","8.83","6.33","42","39.33","4"
"Adidas Own The Run Tee Verde","2025-01","4","7.33","8.17","6.25","51","45.00","10"
"Adidas Own The Run Tee Verde","2025-02","10","9.00","8.00","6.67","45","46.00","11"
"Adidas Own The Run Tee Verde","2025-03","11","8.33","8.50","7.25","44","46.67","10"
"Adidas Own The Run Tee Verde","2025-04","10","10.33","8.83","7.67","53","47.33","11"
"Adidas Own The Run Tee Verde","2025-05","11","10.67","9.83","8.58","33","43.33","15"
"Adidas Own The Run Tee Verde","2025-06","15","12.00","10.17","9.50","55","47.00","10"
"Adidas Own The Run Tee Verde","2025-07","10","12.00","11.17","9.67","25","37.67","12"
"Adidas Own The Run Tee Verde","2025-08","12","12.33","11.50","9.75","31","37.00","8"
"Adidas Own The Run Tee Verde","2025-09","8","10.00","11.00","9.75","49","35.00","9"
"Adidas Own The Run Tee Verde","2025-10","9","9.67","10.83","9.83","39","39.67","9"
"Adidas Own The Run Tee Verde","2025-11","9","8.67","10.50","10.17","38","42.00","4"
"Adidas Own The Run Tee Verde","2025-12","4","7.33","8.67","9.42","42","39.67","10"
"Adidas Own The Run Tee Verde","2026-01","10","7.67","8.67","9.92","36","38.67","6"
"Adidas Own The Run Tee Verde","2026-02","6","6.67","7.67","9.58","48","42.00","16"
"Adidas Own The Run Tee Verde","2026-03","16","10.67","9.00","10.00","44","42.67","9"
"Adidas Own The Run Tee Verde","2026-04","9","10.33","9.00","9.92","35","42.33","14"
"Adidas Own The Run Tee Verde","2026-05","14","13.00","9.83","10.17","28","35.67","24"
"Adidas Powerreact Sports Bra Rosa","2023-06","6","4.67","4.17","3.67","59","44.33","2"
"Adidas Powerreact Sports Bra Rosa","2023-07","2","3.67","4.00","3.83","38","46.00","2"
"Adidas Powerreact Sports Bra Rosa","2023-08","2","3.33","3.67","3.83","33","43.33","3"
"Adidas Powerreact Sports Bra Rosa","2023-09","3","2.33","3.50","3.83","27","32.67","5"
"Adidas Powerreact Sports Bra Rosa","2023-10","5","3.33","3.50","3.83","27","29.00","6"
"Adidas Powerreact Sports Bra Rosa","2023-11","6","4.67","4.00","4.08","69","41.00","6"
"Adidas Powerreact Sports Bra Rosa","2023-12","6","5.67","4.00","4.08","66","54.00","5"
"Adidas Powerreact Sports Bra Rosa","2024-01","5","5.67","4.50","4.25","53","62.67","4"
